R1_Ia,R1_Ib,R1_Ic,R1_I0,R1_I1,R1_I2,R1_Ia_ang,R1_Ib_ang,R1_Ic_ang,R2_Ia,R2_Ib,R2_Ic,R2_I0,R2_I1,R2_I2,R2_Ia_ang,R2_Ib_ang,R2_Ic_ang,VA_a,VA_b,VA_c,VA_V0,VA_V2,VB_a,VB_b,VB_c,VB_V0,VB_V2,fault,fault_type,zone,distance_km,Rf,load_factor,correct_relay,t_R1,t_R2,coordinated
2430.1181225356268,2432.3532327856547,2432.6847657695757,0.8345195069315378,2431.718598385701,1.0635871849074965,-115.98729723729183,124.05171297966672,4.045591058250932,1121.1173071765602,1120.9307967117516,1120.9549772184246,0.877320614796625,1121.000326806094,0.8983774130629091,-176.5577862404592,63.57286972004392,-56.41728413881059,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,1,AG,1,12.5,0.01,1.0,R1,0.3496049663425826,-1.0,True
2434.5414026141684,2434.583941293435,2432.6847665414134,1.6166727939462421e-06,2433.936542514375,1.2520181846018579,-115.9280280686611,124.02094614227262,4.0455910622563165,1121.1083428168995,1123.2829377280218,1120.95497681598,5.370664761796707e-07,1121.7815813692198,1.5039587075466259,-176.28437722900833,63.642399073742986,-56.41728412632647,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,1,BC,1,12.5,0.01,1.0,R1,0.32553537446443387,-1.0,True
2430.1184229498335,2435.4103202786223,2432.6847657622125,2.015333816893708,2432.7377379625236,1.0420203339645444,-115.98729320383602,124.00956516031508,4.045591087465019,1121.1173057174665,1124.1545306698158,1120.9549759238337,2.1186971365872656,1122.0741220317839,1.0012359363804773,-176.5577676756531,63.66807716338004,-56.41728410174562,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,1,BCG,1,12.5,0.01,1.0,R1,0.32094440363331467,-1.0,True
2430.1108487818237,2434.1404748256778,2432.6594351280037,1.2765501371627352e-06,2432.3030171451164,2.353311799720273,-115.98739484886023,124.02705740244295,3.937643949224942,1121.117342911393,1122.815256572594,1125.1342452553629,1.7065114665067976e-06,1123.021074042336,2.3287039050468628,-176.55823583571146,63.6286014965521,-56.53962624757098,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,1,ABC,1,12.5,0.01,1.0,R1,0.31244996463404917,-1.0,True
2430.11084567535,2435.4259394969017,2432.663511360699,0.781939590148476,2432.7331988039764,2.2879810207012756,-115.98739494902445,124.00935013721238,3.957812011363337,1121.1173429668872,1124.1710055514204,1124.353038868737,0.8220444885340903,1123.2121319010805,2.294589015843986,-176.5582361598757,63.668562083064074,-56.51683801424625,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,1,ABC,1,12.5,0.01,1.0,R1,0.31244996463404917,-1.0,True
2430.338718629332,2432.3536443216267,2432.685177641288,0.7500579646330704,2431.7924216499264,0.9794703152717926,-115.98433963497871,124.05171427886768,4.045592396390385,1121.1165160451474,1120.931055932511,1120.9552366293801,0.7885265351893673,1121.0003690084952,0.8103407050077057,-176.54416742936638,63.57287489010268,-56.41727896901788,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,1,AG,1,25.0,0.01,1.0,R1,0.4117426311277043,-1.0,True
2434.378850539437,2434.4226008444352,2432.685177941504,1.4828803386627244e-06,2433.8287420785273,1.1438428724813356,-115.93020604063608,124.02317619331191,4.045592390758701,1121.1084797291207,1123.1126085316841,1120.955236331399,4.803277531307748e-07,1121.7250104054551,1.390409389565309,-176.29444253293872,63.637373051273514,-56.417278959456524,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,1,BC,1,25.0,0.01,1.0,R1,0.3714068299500965,-1.0,True
2430.3387278848554,2435.144265075403,2432.685177633931,1.8280700719262202,2432.722643295469,0.9476881308892681,-115.98433951112352,124.01323529857751,4.045592423681936,1121.1165160178607,1123.8737282679676,1120.9552354295852,1.9218277361615053,1121.9806177593268,0.9017145924923028,-176.54416686566853,63.65980699151699,-56.41727893465132,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,1,BCG,1,25.0,0.01,1.0,R1,0.3668064852243987,-1.0,True
2430.331897653128,2433.975414281742,2432.661930743086,4.6831663779444176e-07,2432.3226144601094,2.1304868554164385,-115.9844312859978,124.02933965161365,3.948141645199607,1121.1165476603169,1122.641018656899,1124.7279083735984,1.450883067936541e-06,1122.82751531197,2.093693568731791,-176.54458932466397,63.62345517243796,-56.527765025472135,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,1,ABC,1,25.0,0.01,1.0,R1,0.3550301764181242,-1.0,True
2430.331890263457,2435.1591470701624,2432.665811069598,0.71967006450078,2432.718762410015,2.0681729279533423,-115.9844313051572,124.0130303719607,3.9666852539772766,1121.1165476637887,1123.8894248251443,1124.009702822609,0.7565798775471714,1123.0038697717873,2.0634043206809762,-176.5445896073211,63.660269272009565,-56.506798289407406,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,76210.2355330306,76210.2355330306,76210.2355330306,0.0,0.0,1,ABC,1,25.0,0.01,1.0,R1,0.3550301764181242,-1.0,True
